"DESIG_ENG","overlap_km2","n_units"
"National Park",2398.79872183724,3
"World Heritage Site (natural or mixed)",2044.21217163465,1
"Wilderness",1786.17707778616,52
"State Park",519.837560916551,53
"National Wildlife Refuge",356.332744622277,9
"State Forest",253.158774000465,4
"State Natural Area",179.119785183656,33
"Wilderness Area",60.6051777308065,2
"State Natural Area Preserve",55.3926215772049,21
"State Nature Preserve",46.5319923240397,19
"Research Natural Area",8.06275923020324,4
"National Forest",2.59494860113211,1
