mode,species,sp_code,ssp,period,suitability,n_occ_total,n_occ_suitable,n_occ_suitable_pa
migration,Malus coronaria,cor,historical,2000,high,759,368,18
no_migration,Malus coronaria,cor,historical,2000,high,759,368,18
migration,Malus coronaria,cor,245,2030,high,759,109,6
no_migration,Malus coronaria,cor,245,2030,high,759,73,5
migration,Malus coronaria,cor,245,2050,high,759,10,1
no_migration,Malus coronaria,cor,245,2050,high,759,1,0
migration,Malus coronaria,cor,245,2070,high,759,2,0
no_migration,Malus coronaria,cor,245,2070,high,759,0,0
migration,Malus coronaria,cor,585,2030,high,759,85,4
no_migration,Malus coronaria,cor,585,2030,high,759,53,3
migration,Malus coronaria,cor,585,2050,high,759,1,0
no_migration,Malus coronaria,cor,585,2050,high,759,0,0
migration,Malus coronaria,cor,585,2070,high,759,0,0
no_migration,Malus coronaria,cor,585,2070,high,759,0,0
migration,Malus fusca,fus,historical,2000,high,801,385,55
no_migration,Malus fusca,fus,historical,2000,high,801,385,55
migration,Malus fusca,fus,245,2030,high,801,456,95
no_migration,Malus fusca,fus,245,2030,high,801,340,51
migration,Malus fusca,fus,245,2050,high,801,489,102
no_migration,Malus fusca,fus,245,2050,high,801,338,52
migration,Malus fusca,fus,245,2070,high,801,501,105
no_migration,Malus fusca,fus,245,2070,high,801,338,51
migration,Malus fusca,fus,585,2030,high,801,464,96
no_migration,Malus fusca,fus,585,2030,high,801,340,52
migration,Malus fusca,fus,585,2050,high,801,472,101
no_migration,Malus fusca,fus,585,2050,high,801,324,51
migration,Malus fusca,fus,585,2070,high,801,431,89
no_migration,Malus fusca,fus,585,2070,high,801,295,48
migration,Malus ioensis,ion,historical,2000,high,403,198,11
no_migration,Malus ioensis,ion,historical,2000,high,403,198,11
migration,Malus ioensis,ion,245,2030,high,403,181,12
no_migration,Malus ioensis,ion,245,2030,high,403,126,8
migration,Malus ioensis,ion,245,2050,high,403,113,9
no_migration,Malus ioensis,ion,245,2050,high,403,67,5
migration,Malus ioensis,ion,245,2070,high,403,68,5
no_migration,Malus ioensis,ion,245,2070,high,403,34,2
migration,Malus ioensis,ion,585,2030,high,403,167,12
no_migration,Malus ioensis,ion,585,2030,high,403,113,8
migration,Malus ioensis,ion,585,2050,high,403,60,5
no_migration,Malus ioensis,ion,585,2050,high,403,32,2
migration,Malus ioensis,ion,585,2070,high,403,1,0
no_migration,Malus ioensis,ion,585,2070,high,403,0,0
migration,Malus angustifolia,ang,historical,2000,high,437,218,24
no_migration,Malus angustifolia,ang,historical,2000,high,437,218,24
migration,Malus angustifolia,ang,245,2030,high,437,39,5
no_migration,Malus angustifolia,ang,245,2030,high,437,39,5
migration,Malus angustifolia,ang,245,2050,high,437,33,5
no_migration,Malus angustifolia,ang,245,2050,high,437,33,5
migration,Malus angustifolia,ang,245,2070,high,437,25,4
no_migration,Malus angustifolia,ang,245,2070,high,437,24,4
migration,Malus angustifolia,ang,585,2030,high,437,35,5
no_migration,Malus angustifolia,ang,585,2030,high,437,35,5
migration,Malus angustifolia,ang,585,2050,high,437,24,4
no_migration,Malus angustifolia,ang,585,2050,high,437,24,4
migration,Malus angustifolia,ang,585,2070,high,437,11,1
no_migration,Malus angustifolia,ang,585,2070,high,437,11,1
migration,Sect. Chloromeles,chl,historical,2000,high,1547,759,52
no_migration,Sect. Chloromeles,chl,historical,2000,high,1547,759,52
migration,Sect. Chloromeles,chl,245,2030,high,1547,432,28
no_migration,Sect. Chloromeles,chl,245,2030,high,1547,299,19
migration,Sect. Chloromeles,chl,245,2050,high,1547,278,20
no_migration,Sect. Chloromeles,chl,245,2050,high,1547,160,11
migration,Sect. Chloromeles,chl,245,2070,high,1547,199,12
no_migration,Sect. Chloromeles,chl,245,2070,high,1547,119,5
migration,Sect. Chloromeles,chl,585,2030,high,1547,414,27
no_migration,Sect. Chloromeles,chl,585,2030,high,1547,279,18
migration,Sect. Chloromeles,chl,585,2050,high,1547,209,14
no_migration,Sect. Chloromeles,chl,585,2050,high,1547,123,6
migration,Sect. Chloromeles,chl,585,2070,high,1547,23,2
no_migration,Sect. Chloromeles,chl,585,2070,high,1547,16,2
