"Species","Variable","Bio_1","Bio_4","Bio_10","Bio_11","Bio_15","Bio_16"
"Cor","Bio_1","1","","","","",""
"Cor","Bio_4","-0.53","1","","","",""
"Cor","Bio_10","0.9*","-0.12","1","","",""
"Cor","Bio_11","0.94*","-0.78*","0.72*","1","",""
"Cor","Bio_15","-0.1","0.56","0.15","-0.31","1",""
"Cor","Bio_16","0.53","-0.69","0.26","0.65","-0.2","1"
"Fus","Bio_1","1","","","","",""
"Fus","Bio_4","-0.52","1","","","",""
"Fus","Bio_10","0.82*","0.06","1","","",""
"Fus","Bio_11","0.92*","-0.81*","0.53","1","",""
"Fus","Bio_15","0.6","-0.43","0.42","0.6","1",""
"Fus","Bio_16","-0.11","-0.41","-0.39","0.12","0.16","1"
"Ion","Bio_1","1","","","","",""
"Ion","Bio_4","-0.93*","1","","","",""
"Ion","Bio_10","0.96*","-0.79*","1","","",""
"Ion","Bio_11","0.99*","-0.97*","0.92*","1","",""
"Ion","Bio_15","-0.48","0.62","-0.35","-0.54","1",""
"Ion","Bio_16","0.38","-0.26","0.44","0.35","-0.05","1"
"Ang","Bio_1","1","","","","",""
"Ang","Bio_4","-0.79*","1","","","",""
"Ang","Bio_10","0.95*","-0.55","1","","",""
"Ang","Bio_11","0.98*","-0.89*","0.87*","1","",""
"Ang","Bio_15","0.66","-0.54","0.6","0.65","1",""
"Ang","Bio_16","0.6","-0.75*","0.41","0.66","0.55","1"
"Chl","Bio_1","1","","","","",""
"Chl","Bio_4","-0.83*","1","","","",""
"Chl","Bio_10","0.94*","-0.59","1","","",""
"Chl","Bio_11","0.98*","-0.93*","0.85*","1","",""
"Chl","Bio_15","-0.1","0.47","0.13","-0.25","1",""
"Chl","Bio_16","0.76*","-0.74*","0.64","0.78*","-0.03","1"
