"Species","Var1","Var2","r","r > 0.7"
"Cor","Bio_4","Bio_1",-0.53,""
"Cor","Bio_10","Bio_1",0.9,"Y"
"Cor","Bio_11","Bio_1",0.94,"Y"
"Cor","Bio_15","Bio_1",-0.1,""
"Cor","Bio_16","Bio_1",0.53,""
"Cor","Bio_10","Bio_4",-0.12,""
"Cor","Bio_11","Bio_4",-0.78,"Y"
"Cor","Bio_15","Bio_4",0.56,""
"Cor","Bio_16","Bio_4",-0.69,""
"Cor","Bio_11","Bio_10",0.72,"Y"
"Cor","Bio_15","Bio_10",0.15,""
"Cor","Bio_16","Bio_10",0.26,""
"Cor","Bio_15","Bio_11",-0.31,""
"Cor","Bio_16","Bio_11",0.65,""
"Cor","Bio_16","Bio_15",-0.2,""
"Fus","Bio_4","Bio_1",-0.52,""
"Fus","Bio_10","Bio_1",0.82,"Y"
"Fus","Bio_11","Bio_1",0.92,"Y"
"Fus","Bio_15","Bio_1",0.6,""
"Fus","Bio_16","Bio_1",-0.11,""
"Fus","Bio_10","Bio_4",0.06,""
"Fus","Bio_11","Bio_4",-0.81,"Y"
"Fus","Bio_15","Bio_4",-0.43,""
"Fus","Bio_16","Bio_4",-0.41,""
"Fus","Bio_11","Bio_10",0.53,""
"Fus","Bio_15","Bio_10",0.42,""
"Fus","Bio_16","Bio_10",-0.39,""
"Fus","Bio_15","Bio_11",0.6,""
"Fus","Bio_16","Bio_11",0.12,""
"Fus","Bio_16","Bio_15",0.16,""
"Ion","Bio_4","Bio_1",-0.93,"Y"
"Ion","Bio_10","Bio_1",0.96,"Y"
"Ion","Bio_11","Bio_1",0.99,"Y"
"Ion","Bio_15","Bio_1",-0.48,""
"Ion","Bio_16","Bio_1",0.38,""
"Ion","Bio_10","Bio_4",-0.79,"Y"
"Ion","Bio_11","Bio_4",-0.97,"Y"
"Ion","Bio_15","Bio_4",0.62,""
"Ion","Bio_16","Bio_4",-0.26,""
"Ion","Bio_11","Bio_10",0.92,"Y"
"Ion","Bio_15","Bio_10",-0.35,""
"Ion","Bio_16","Bio_10",0.44,""
"Ion","Bio_15","Bio_11",-0.54,""
"Ion","Bio_16","Bio_11",0.35,""
"Ion","Bio_16","Bio_15",-0.05,""
"Ang","Bio_4","Bio_1",-0.79,"Y"
"Ang","Bio_10","Bio_1",0.95,"Y"
"Ang","Bio_11","Bio_1",0.98,"Y"
"Ang","Bio_15","Bio_1",0.66,""
"Ang","Bio_16","Bio_1",0.6,""
"Ang","Bio_10","Bio_4",-0.55,""
"Ang","Bio_11","Bio_4",-0.89,"Y"
"Ang","Bio_15","Bio_4",-0.54,""
"Ang","Bio_16","Bio_4",-0.75,"Y"
"Ang","Bio_11","Bio_10",0.87,"Y"
"Ang","Bio_15","Bio_10",0.6,""
"Ang","Bio_16","Bio_10",0.41,""
"Ang","Bio_15","Bio_11",0.65,""
"Ang","Bio_16","Bio_11",0.66,""
"Ang","Bio_16","Bio_15",0.55,""
"Chl","Bio_4","Bio_1",-0.83,"Y"
"Chl","Bio_10","Bio_1",0.94,"Y"
"Chl","Bio_11","Bio_1",0.98,"Y"
"Chl","Bio_15","Bio_1",-0.1,""
"Chl","Bio_16","Bio_1",0.76,"Y"
"Chl","Bio_10","Bio_4",-0.59,""
"Chl","Bio_11","Bio_4",-0.93,"Y"
"Chl","Bio_15","Bio_4",0.47,""
"Chl","Bio_16","Bio_4",-0.74,"Y"
"Chl","Bio_11","Bio_10",0.85,"Y"
"Chl","Bio_15","Bio_10",0.13,""
"Chl","Bio_16","Bio_10",0.64,""
"Chl","Bio_15","Bio_11",-0.25,""
"Chl","Bio_16","Bio_11",0.78,"Y"
"Chl","Bio_16","Bio_15",-0.03,""
